Date,PCE,Saving,Credit,PCE_Index,Saving_Index,Credit_Index
2023-11-01,15786.9,5.6,4989152.89,116.5833413,98.24561404,129.6612904
2023-12-01,15851.3,5.6,4988252.94,117.0589234,98.24561404,129.6379019
2024-01-01,15793.7,6.4,5003263.54,116.6335581,112.2807018,130.028007
2024-02-01,15863.1,6.1,5013828.69,117.1460643,107.0175439,130.3025809
2024-03-01,15916.3,5.9,5013919.21,117.5389364,103.5087719,130.3049333
2024-04-01,15945.2,5.8,5017407.51,117.7523576,101.754386,130.3955895
2024-05-01,16019.2,5.8,5025704.11,118.2988339,101.754386,130.6112069
2024-06-01,16064.4,5.7,5027254.09,118.6326276,100,130.6514887
2024-07-01,16123.8,5.3,5045212.65,119.0712856,92.98245614,131.1182072
2024-08-01,16145.7,5.2,5052991.7,119.2330131,91.22807018,131.3203742
2024-09-01,16227.8,4.8,5057015.98,119.8393064,84.21052632,131.4249597
2024-10-01,16247.7,5,5067276.2,119.9862642,87.71929825,131.6916089
2024-11-01,16299.5,4.9,5060657.97,120.3687977,85.96491228,131.5196101
2024-12-01,16415.5,4.3,4948069.04,121.2254363,75.43859649,128.5935771
2025-01-01,16316.5,5.1,4957979.27,120.4943395,89.47368421,128.8511305
2025-02-01,16297,5.2,4956920.12,120.3503356,91.22807018,128.8236046
2025-03-01,16423.9,5.1,5020912,121.2874687,89.47368421,130.4866664
2025-04-01,16446.9,5.5,5038854.01,121.4573195,96.49122807,130.9529548
2025-05-01,16423.9,4.9,5047982.01,121.2874687,85.96491228,131.1901791
2025-06-01,16466.3,4.6,5042689.74,121.6005849,80.70175439,131.0526402
2025-07-01,16547.5,4.3,5057212.7,122.2002319,75.43859649,131.4300722
2025-08-01,16595.8,4.1,5059896.38,122.5569185,71.92982456,131.4998174
2025-09-01,16614.3,4,5071365.99,122.6935375,70.1754386,131.7978969
2025-10-01,16665.1,3.7,5080601.87,123.0686862,64.9122807,132.0379249
2025-11-01,16715.4,3.5,5084831.24,123.4401424,61.40350877,132.1478405
